QID,SSID,Wordnet Lemmas,Wikidata Labels,Count,Accept,Notes,Extra Type
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-08591861-n,"geographical area, geographic area, geographical region, geographic region","archaeological site, archeological site, ancient site",21,TRUE,,08567651-n
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-08648560-n,region,"archaeological site, archeological site, ancient site",21,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-00027365-n,location,"archaeological site, archeological site, ancient site",21,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-08643858-n,municipality,"archaeological site, archeological site, ancient site",18,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-08693705-n,"urban area, populated area","archaeological site, archeological site, ancient site",18,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-08508836-n,"administrative district, administrative division, territorial division","archaeological site, archeological site, ancient site",18,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-08569713-n,"district, territory, territorial dominion, dominion","archaeological site, archeological site, ancient site",18,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-08542298-n,"city, metropolis, urban center","archaeological site, archeological site, ancient site",12,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-00022119-n,"artifact, artefact","archaeological site, archeological site, ancient site",9,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-00003553-n,"whole, unit","archaeological site, archeological site, ancient site",9,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-04348764-n,"structure, construction","archaeological site, archeological site, ancient site",8,FALSE,,
http://www.wikidata.org/entity/Q839954,https://en-word.net/id/oewn-08683242-n,town,"archaeological site, archeological site, ancient site",6,FALSE,,
http://www.wikidata.org/entity/Q13107770,https://en-word.net/id/oewn-08562388-n,"country, state, land",archipelagic state,22,TRUE,,
http://www.wikidata.org/entity/Q13107770,https://en-word.net/id/oewn-08508836-n,"administrative district, administrative division, territorial division",archipelagic state,22,FALSE,,
http://www.wikidata.org/entity/Q13107770,https://en-word.net/id/oewn-08569713-n,"district, territory, territorial dominion, dominion",archipelagic state,22,FALSE,,
http://www.wikidata.org/entity/Q13107770,https://en-word.net/id/oewn-08648560-n,region,archipelagic state,22,FALSE,,
http://www.wikidata.org/entity/Q13107770,https://en-word.net/id/oewn-00027365-n,location,archipelagic state,22,FALSE,,
