Taxon,Name,Definition,OEWN,Taxon,Name,Definition,Wikidata QID,Type,Accept,Notes
genus,Podocarpus,evergreen trees or shrubs; sometimes classified as member of the family Taxaceae,https://en-word.net/id/oewn-11672182-n,genus,Podocarpus,genus of plants,https://www.wikidata.org/entity/Q157524,Exact,TRUE,
genus,Afrocarpus,dioecious evergreen trees or shrubs; equatorial to southern and southeastern Africa: yellowwood; similar to trees or genus Podocarpus,https://en-word.net/id/oewn-11673774-n,genus,Afrocarpus,genus of plants,https://www.wikidata.org/entity/Q388418,Exact,TRUE,
genus,Dacrycarpus,evergreen coniferous shrubs or trees of New Zealand to Malaysia and Philippines,https://en-word.net/id/oewn-11674179-n,genus,Dacrycarpus,genus of conifers,https://www.wikidata.org/entity/Q1500691,Exact,TRUE,
genus,Dacrydium,Australasian evergreen trees or shrubs,https://en-word.net/id/oewn-11674575-n,genus,Dacrydium,genus of molluscs,https://www.wikidata.org/entity/Q1862566,Conflict,FALSE,
genus,Dacrydium,Australasian evergreen trees or shrubs,https://en-word.net/id/oewn-11674575-n,genus,Dacrydium,genus of plants,https://www.wikidata.org/entity/Q1482244,Conflict,TRUE,
genus,Falcatifolium,sickle pines: dioecious evergreen tropical trees and shrubs having sickle-shaped leaves; similar to Dacrycarpus in habit; Malaysia and Philippines to New Guinea and New Caledonia,https://en-word.net/id/oewn-11675118-n,genus,Falcatifolium,genus of plants,https://www.wikidata.org/entity/Q133717,Exact,TRUE,
genus,Halocarpus,dioecious trees or shrubs of New Zealand; similar in habit to Dacrydium,https://en-word.net/id/oewn-11675858-n,genus,Halocarpus,genus of plants,https://www.wikidata.org/entity/Q140707,Exact,TRUE,
genus,Lepidothamnus,small usually shrubby conifers,https://en-word.net/id/oewn-11676831-n,genus,Lepidothamnus,genus of plants,https://www.wikidata.org/entity/Q140691,Exact,TRUE,
genus,Microstrobos,2 species of small evergreen shrubs of Australia and Tasmania,https://en-word.net/id/oewn-11677425-n,genus,Microstrobos,genus of plants (fossil),https://www.wikidata.org/entity/Q135762,Exact,TRUE,
genus,Nageia,small genus of Asian evergreen trees having columnar crowns and distinguished by leaves lacking a midrib; eastern Asia including India and Philippines and New Guinea,https://en-word.net/id/oewn-11677765-n,genus,Nageia,genus of plants,https://www.wikidata.org/entity/Q137392,Exact,TRUE,
genus,Parasitaxus,one species: parasite yew,https://en-word.net/id/oewn-11678214-n,genus,Parasitaxus,genus of plants,https://www.wikidata.org/entity/Q13077228,Exact,TRUE,
genus,Prumnopitys,mostly dioecious evergreen conifers; leaves are softer than in Podocarpus,https://en-word.net/id/oewn-11678555-n,genus,Prumnopitys,genus of plants,https://www.wikidata.org/entity/Q138688,Exact,TRUE,
genus,Retrophyllum,small genus of tropical evergreen dioecious shrubs or trees of Oceania and tropical South America,https://en-word.net/id/oewn-11679323-n,genus,Retrophyllum,genus of plants,https://www.wikidata.org/entity/Q138257,Exact,TRUE,
genus,Sundacarpus,a genus of conifers containing Sundacarpus amarus (Sundacarpus),https://en-word.net/id/oewn-11679951-n,genus,Sundacarpus,genus of plants,https://www.wikidata.org/entity/Q13080891,Exact,TRUE,
family,Sciadopityaceae,family comprising a single genus that until recently was considered part of Taxodiaceae,https://en-word.net/id/oewn-11680360-n,family,Sciadopityaceae,family of plants,https://www.wikidata.org/entity/Q520165,Exact,TRUE,
genus,Sciadopitys,type and sole genus of Sciadopityaceae; Japanese umbrella pines,https://en-word.net/id/oewn-11680572-n,genus,Sciadopitys,genus of plants,https://www.wikidata.org/entity/Q3065538,Exact,TRUE,
